session_id,tracks_per_session,session_duration,session_skip_rate,binge_session
0,6,19.93301667,0,1
1,1,3.1033,0,0
2,2,0.793166667,0.5,0
3,1,0.434333333,1,0
4,19,62.26881667,0.052631579,1
5,1,0.710833333,0,0
6,6,16.61361667,0,0
7,4,3.65505,0.75,0
8,11,35.33453333,0,1
9,17,32.60818333,0.294117647,1
10,1,3.005283333,0,0
11,8,30.8101,0,1
12,9,18.29721667,0.222222222,0
13,2,2.596766667,0.5,0
14,1,0.1989,1,0
15,3,4.9058,0,0
16,7,14.60526667,0,0
17,2,5.34785,0,0
18,1,1.781733333,0,0
19,10,13.54541667,0.4,0
20,7,1.841716667,0.714285714,0
21,1,0.1645,1,0
22,3,2.6375,0.333333333,0
23,9,31.57281667,0,1
24,5,13.31596667,0,0
25,1,3.0815,0,0
26,2,0.7984,1,0
27,9,9.165716667,0.444444444,0
28,1,0.438433333,1,0
29,1,0.0192,1,0
30,3,3.135583333,0.333333333,0
31,6,19.5622,0,1
32,2,4.946666667,0,0
33,24,11.81645,0.75,0
34,3,10.2496,0,0
35,11,7.465583333,0.545454545,0
36,7,4.9945,0.714285714,0
37,4,7.423,0,0
38,2,2.294,0.5,0
39,3,8.296,0,0
40,22,49.4873,0.272727273,1
41,6,16.39163333,0,0
42,1,0.680166667,0,0
43,1,0.382833333,1,0
44,2,3.472366667,0.5,0
45,4,11.7882,0,0
46,3,7.484583333,0,0
47,6,17.08511667,0,0
48,3,3.060633333,0.333333333,0
49,11,3.550683333,0.909090909,0
50,2,0.175133333,1,0
51,6,8.9476,0.333333333,0
52,1,0.748133333,0,0
53,9,15.97691667,0.333333333,0
54,1,1.2575,0,0
55,1,3.569166667,0,0
56,8,22.96406667,0,1
57,11,10.82873333,0.636363636,0
58,5,3.110783333,0.4,0
59,3,5.4691,0,0
60,3,8.103283333,0,0
61,4,12.03445,0,0
62,2,0.165333333,1,0
63,11,17.263,0.545454545,0
64,20,22.52636667,0.45,1
65,4,4.646833333,0.5,0
66,1,2.5005,0,0
67,7,6.80545,0.571428571,0
68,2,0.660866667,1,0
69,6,2.071033333,0.833333333,0
70,4,3.933283333,0.25,0
71,5,7.285316667,0.4,0
72,11,8.400933333,0.636363636,0
73,17,18.53111667,0.235294118,0
74,2,4.11265,0,0
75,2,4.04635,0,0
76,4,3.2305,0.5,0
77,2,2.5245,0.5,0
78,7,5.362316667,0.428571429,0
79,11,10.43901667,0.636363636,0
80,19,46.49926667,0.157894737,1
81,3,6.732433333,0.333333333,0
82,2,6.7336,0,0
83,16,29.5532,0.375,1
84,2,4.41415,0,0
85,35,24.28495,0.514285714,1
86,21,36.04095,0.428571429,1
87,2,1.2356,0.5,0
88,2,2.265133333,0.5,0
89,12,16.69611667,0.416666667,0
90,1,0.01035,1,0
91,2,4.4055,0,0
92,2,2.709016667,0,0
93,23,2.230583333,0.913043478,0
94,4,8.131483333,0,0
95,2,0.063366667,1,0
96,10,7.2259,0.7,0
97,1,2.96885,0,0
